Item,Qty,Reference Designator,Description,Manufacturer,Part No.,Link
1,6,"C1, C21, C41, C61, C81, C101",1pF NP0/C0G 1206,,,http://octopart.com/search?filter%5Bfields%5D%5Bcategory_uids%5D%5B%5D=f8883582c9a8234f&filter%5Bfields%5D%5Bspecs.voltage_rating_dc.value%5D%5B%5D=%5B100%20TO%20*%5D&filter%5Bfields%5D%5Bspecs.case_package.value%5D%5B%5D=1206&filter%5Bfields%5D%5Bspecs.dielectric_characteristic.value%5D%5B%5D=C0G%2FNP0&filter%5Bfields%5D%5Bspecs.capacitance.value%5D%5B%5D=%5B1.0e-12%20TO%201.0e-12%5D&=&sortby=score%20desc&start=0&filter%5Bfields%5D%5Bavg_avail%5D%5B%5D=%5B1%20TO%20*%5D
2,6,"C2, C22, C42, C62, C82, C102",1.5pF NP0/C0G 1206,,,http://octopart.com/search?filter%5Bfields%5D%5Bcategory_uids%5D%5B%5D=f8883582c9a8234f&filter%5Bfields%5D%5Bspecs.voltage_rating_dc.value%5D%5B%5D=%5B100%20TO%20*%5D&filter%5Bfields%5D%5Bspecs.case_package.value%5D%5B%5D=1206&filter%5Bfields%5D%5Bspecs.dielectric_characteristic.value%5D%5B%5D=C0G%2FNP0&filter%5Bfields%5D%5Bspecs.capacitance.value%5D%5B%5D=%5B1.5e-12%20TO%201.5e-12%5D&=&sortby=score%20desc&start=0&filter%5Bfields%5D%5Bavg_avail%5D%5B%5D=%5B1%20TO%20*%5D
3,6,"C3, C23, C43, C63, C83, C103",2.2pF NP0/C0G 1206,,,http://octopart.com/search?filter%5Bfields%5D%5Bcategory_uids%5D%5B%5D=f8883582c9a8234f&filter%5Bfields%5D%5Bspecs.voltage_rating_dc.value%5D%5B%5D=%5B100%20TO%20*%5D&filter%5Bfields%5D%5Bspecs.case_package.value%5D%5B%5D=1206&filter%5Bfields%5D%5Bspecs.dielectric_characteristic.value%5D%5B%5D=C0G%2FNP0&filter%5Bfields%5D%5Bspecs.capacitance.value%5D%5B%5D=%5B2.2e-12%20TO%202.2e-12%5D&=&sortby=score%20desc&start=0&filter%5Bfields%5D%5Bavg_avail%5D%5B%5D=%5B1%20TO%20*%5D
4,6,"C4, C24, C44, C64, C84, C104",3.3pF NP0/C0G 1206,,,http://octopart.com/search?filter%5Bfields%5D%5Bcategory_uids%5D%5B%5D=f8883582c9a8234f&filter%5Bfields%5D%5Bspecs.voltage_rating_dc.value%5D%5B%5D=%5B100%20TO%20*%5D&filter%5Bfields%5D%5Bspecs.case_package.value%5D%5B%5D=1206&filter%5Bfields%5D%5Bspecs.dielectric_characteristic.value%5D%5B%5D=C0G%2FNP0&filter%5Bfields%5D%5Bspecs.capacitance.value%5D%5B%5D=%5B3.3e-12%20TO%203.3e-12%5D&=&sortby=score%20desc&start=0&filter%5Bfields%5D%5Bavg_avail%5D%5B%5D=%5B1%20TO%20*%5D
5,6,"C5, C25, C45, C65, C85, C105",4.7pF NP0/C0G 1206,,,http://octopart.com/search?filter%5Bfields%5D%5Bcategory_uids%5D%5B%5D=f8883582c9a8234f&filter%5Bfields%5D%5Bspecs.voltage_rating_dc.value%5D%5B%5D=%5B100%20TO%20*%5D&filter%5Bfields%5D%5Bspecs.case_package.value%5D%5B%5D=1206&filter%5Bfields%5D%5Bspecs.dielectric_characteristic.value%5D%5B%5D=C0G%2FNP0&filter%5Bfields%5D%5Bspecs.capacitance.value%5D%5B%5D=%5B4.7e-12%20TO%204.7e-12%5D&=&sortby=score%20desc&start=0&filter%5Bfields%5D%5Bavg_avail%5D%5B%5D=%5B1%20TO%20*%5D
6,6,"C6, C26, C46, C66, C86, C106",6.8pF NP0/C0G 1206,,,http://octopart.com/search?filter%5Bfields%5D%5Bcategory_uids%5D%5B%5D=f8883582c9a8234f&filter%5Bfields%5D%5Bspecs.voltage_rating_dc.value%5D%5B%5D=%5B100%20TO%20*%5D&filter%5Bfields%5D%5Bspecs.case_package.value%5D%5B%5D=1206&filter%5Bfields%5D%5Bspecs.dielectric_characteristic.value%5D%5B%5D=C0G%2FNP0&filter%5Bfields%5D%5Bspecs.capacitance.value%5D%5B%5D=%5B6.8e-12%20TO%206.8e-12%5D&=&sortby=score%20desc&start=0&filter%5Bfields%5D%5Bavg_avail%5D%5B%5D=%5B1%20TO%20*%5D
7,6,"C7, C27, C47, C67, C87, C107",10pF NP0/C0G 1206,,,http://octopart.com/search?filter%5Bfields%5D%5Bcategory_uids%5D%5B%5D=f8883582c9a8234f&filter%5Bfields%5D%5Bspecs.voltage_rating_dc.value%5D%5B%5D=%5B100%20TO%20*%5D&filter%5Bfields%5D%5Bspecs.case_package.value%5D%5B%5D=1206&filter%5Bfields%5D%5Bspecs.dielectric_characteristic.value%5D%5B%5D=C0G%2FNP0&filter%5Bfields%5D%5Bspecs.capacitance.value%5D%5B%5D=%5B1.0e-11%20TO%201.0e-11%5D&=&sortby=score%20desc&start=0&filter%5Bfields%5D%5Bavg_avail%5D%5B%5D=%5B1%20TO%20*%5D
8,6,"C8, C28, C48, C68, C88, C108",15pF NP0/C0G 1206,,,http://octopart.com/search?filter%5Bfields%5D%5Bcategory_uids%5D%5B%5D=f8883582c9a8234f&filter%5Bfields%5D%5Bspecs.voltage_rating_dc.value%5D%5B%5D=%5B100%20TO%20*%5D&filter%5Bfields%5D%5Bspecs.case_package.value%5D%5B%5D=1206&filter%5Bfields%5D%5Bspecs.dielectric_characteristic.value%5D%5B%5D=C0G%2FNP0&filter%5Bfields%5D%5Bspecs.capacitance.value%5D%5B%5D=%5B1.5e-11%20TO%201.5e-11%5D&=&sortby=score%20desc&start=0&filter%5Bfields%5D%5Bavg_avail%5D%5B%5D=%5B1%20TO%20*%5D
9,6,"C9, C29, C49, C69, C89, C109",22pF NP0/C0G 1206,,,http://octopart.com/search?filter%5Bfields%5D%5Bcategory_uids%5D%5B%5D=f8883582c9a8234f&filter%5Bfields%5D%5Bspecs.voltage_rating_dc.value%5D%5B%5D=%5B100%20TO%20*%5D&filter%5Bfields%5D%5Bspecs.case_package.value%5D%5B%5D=1206&filter%5Bfields%5D%5Bspecs.dielectric_characteristic.value%5D%5B%5D=C0G%2FNP0&filter%5Bfields%5D%5Bspecs.capacitance.value%5D%5B%5D=%5B2.2e-11%20TO%202.2e-11%5D&=&sortby=score%20desc&start=0&filter%5Bfields%5D%5Bavg_avail%5D%5B%5D=%5B1%20TO%20*%5D
10,6,"C10, C30, C50, C70, C90, C110",33pF NP0/C0G 1206,,,http://octopart.com/search?filter%5Bfields%5D%5Bcategory_uids%5D%5B%5D=f8883582c9a8234f&filter%5Bfields%5D%5Bspecs.voltage_rating_dc.value%5D%5B%5D=%5B100%20TO%20*%5D&filter%5Bfields%5D%5Bspecs.case_package.value%5D%5B%5D=1206&filter%5Bfields%5D%5Bspecs.dielectric_characteristic.value%5D%5B%5D=C0G%2FNP0&filter%5Bfields%5D%5Bspecs.capacitance.value%5D%5B%5D=%5B3.3e-11%20TO%203.3e-11%5D&=&sortby=score%20desc&start=0&filter%5Bfields%5D%5Bavg_avail%5D%5B%5D=%5B1%20TO%20*%5D
